block_number,block_timestamp_utc,tx_count,onchain_log_count
46689547,2026-06-14 08:24:05,19,50
46689548,2026-06-14 08:24:10,24,57
46689549,2026-06-14 08:24:15,18,40
46689550,2026-06-14 08:24:20,18,44
46689551,2026-06-14 08:24:25,40,124
46689552,2026-06-14 08:24:30,17,53
46689553,2026-06-14 08:24:35,12,34
46689554,2026-06-14 08:24:40,16,37
46689555,2026-06-14 08:24:45,30,82
46689556,2026-06-14 08:24:50,2,1
46689557,2026-06-14 08:24:55,19,68
46689558,2026-06-14 08:25:00,20,31
46689559,2026-06-14 08:25:05,24,73
46689560,2026-06-14 08:25:10,20,98
46689561,2026-06-14 08:25:15,26,59
46689562,2026-06-14 08:25:20,25,64
46689563,2026-06-14 08:25:25,32,95
46689564,2026-06-14 08:25:30,24,53
46689565,2026-06-14 08:25:35,13,23
46689566,2026-06-14 08:25:40,17,483
46689567,2026-06-14 08:25:45,27,70
46689568,2026-06-14 08:25:50,10,22
46689569,2026-06-14 08:25:55,13,27
46689570,2026-06-14 08:26:00,22,61
46689571,2026-06-14 08:26:05,16,193
46689572,2026-06-14 08:26:10,32,70
46689573,2026-06-14 08:26:20,13,22
46689574,2026-06-14 08:26:30,26,74
46689575,2026-06-14 08:26:35,18,67
46689576,2026-06-14 08:26:40,22,50
46689577,2026-06-14 08:26:45,30,82
46689578,2026-06-14 08:26:50,20,176
46689579,2026-06-14 08:26:55,16,136
46689580,2026-06-14 08:27:00,23,47
46689581,2026-06-14 08:27:05,16,30
46689582,2026-06-14 08:27:10,34,109
46689583,2026-06-14 08:27:15,16,29
46689584,2026-06-14 08:27:20,4,4
46689585,2026-06-14 08:27:25,30,83
46689586,2026-06-14 08:27:30,19,40
46689587,2026-06-14 08:27:35,17,26
46689588,2026-06-14 08:27:40,21,63
46689589,2026-06-14 08:27:45,38,79
46689590,2026-06-14 08:27:50,23,42
46689591,2026-06-14 08:27:55,21,35
46689592,2026-06-14 08:28:00,16,35
46689593,2026-06-14 08:28:05,12,22
46689594,2026-06-14 08:28:10,20,54
46689595,2026-06-14 08:28:15,14,54
46689596,2026-06-14 08:28:20,27,67
46689597,2026-06-14 08:28:25,9,19
46689598,2026-06-14 08:28:30,29,79
46689599,2026-06-14 08:28:35,9,19
